surah	exception
96	[]
68	[{"ayah_range": "17-33", "before": "87:1"}, {"ayah_range": "48-50", "before": "87:1"}]
73	[{"ayah_range": "10-11", "before": "87:1"}, {"ayah_range": "20", "before": "87:1"}]
74	[]
1	[]
111	[]
81	[]
87	[]
92	[]
89	[]
93	[]
94	[]
103	[]
100	[]
108	[]
102	[]
107	[{"ayah_range": "4-7", "before": "87:1"}]
109	[]
105	[]
113	[]
114	[]
112	[]
53	[{"ayah_range": "32", "before": "87:1"}]
80	[]
97	[]
91	[]
85	[]
95	[]
106	[]
101	[]
75	[]
104	[]
77	[{"ayah_range": "48", "before": "87:1"}]
50	[{"ayah_range": "38", "before": "87:1"}]
90	[]
86	[]
54	[{"ayah_range": "44-46", "before": "87:1"}]
38	[]
7	[{"ayah_range": "163-170", "before": "87:1"}]
72	[]
36	[{"ayah_range": "45", "before": "87:1"}]
25	[{"ayah_range": "68-70", "before": "87:1"}]
35	[]
19	[{"ayah_range": "58", "before": "87:1"}, {"ayah_range": "71", "before": "87:1"}]
20	[{"ayah_range": "130-131", "before": "87:1"}]
56	[{"ayah_range": "81-82", "before": "87:1"}]
26	[{"ayah_range": "197", "before": "87:1"}, {"ayah_range": "224-227", "before": "87:1"}]
27	[]
28	[{"ayah_range": "52-55", "before": "87:1"}, {"ayah_range": "85", "after": "86:17"}]
17	[{"ayah_range": "26", "before": "87:1"}, {"ayah_range": "32-33", "before": "87:1"}, {"ayah_range": "57", "before": "87:1"}, {"ayah_range": "73-80", "before": "87:1"}]
10	[{"ayah_range": "40", "before": "87:1"}, {"ayah_range": "94-96", "before": "87:1"}]
11	[{"ayah_range": "12", "before": "87:1"}, {"ayah_range": "17", "before": "87:1"}, {"ayah_range": "114", "before": "87:1"}]
12	[{"ayah_range": "1-3", "before": "87:1"}, {"ayah_range": "7", "before": "87:1"}]
15	[{"ayah_range": "87", "before": "87:1"}]
6	[{"ayah_range": "20", "before": "87:1"}, {"ayah_range": "23", "before": "87:1"}, {"ayah_range": "91", "before": "87:1"}, {"ayah_range": "93", "before": "87:1"}, {"ayah_range": "114", "before": "87:1"}, {"ayah_range": "151-153", "before": "87:1"}]
37	[]
31	[{"ayah_range": "27-29", "before": "87:1"}]
34	[]
39	[]
40	[{"ayah_range": "56-57", "before": "87:1"}]
41	[]
42	[{"ayah_range": "23-25", "before": "87:1"}, {"ayah_range": "27", "before": "87:1"}]
43	[{"ayah_range": "54", "before": "87:1"}]
44	[]
45	[{"ayah_range": "14", "before": "87:1"}]
46	[{"ayah_range": "10", "before": "87:1"}, {"ayah_range": "15", "before": "87:1"}, {"ayah_range": "35", "before": "87:1"}]
51	[]
88	[]
18	[{"ayah_range": "28", "before": "87:1"}, {"ayah_range": "83-101", "before": "87:1"}]
16	[{"ayah_range": "126-128", "before": "87:1"}]
71	[]
14	[{"ayah_range": "28-29", "before": "87:1"}]
21	[]
23	[]
32	[{"ayah_range": "16-20", "before": "87:1"}]
52	[]
67	[]
69	[]
70	[]
78	[]
79	[]
82	[]
84	[]
30	[{"ayah_range": "17", "before": "87:1"}]
29	[{"ayah_range": "1-11", "before": "87:1"}]
83	[]
2	[{"ayah_range": "281", "before": "114:1"}]
8	[{"ayah_range": "30-36", "after": "86:17"}]
3	[]
33	[]
60	[]
4	[]
99	[]
57	[]
47	[{"ayah_range": "13", "after": "86:17"}]
13	[]
55	[]
76	[]
65	[]
98	[]
59	[]
24	[]
22	[{"ayah_range": "52-55", "before": "87:1"}]
63	[]
58	[]
49	[]
66	[]
64	[]
61	[]
62	[]
48	[]
5	[{"ayah_range": "3", "after": "113:1"}]
9	[{"ayah_range": "128-129", "after": "86:17"}]
110	[]
